Location[0]	Station-No.[1]	GeoX[2]	GeoY[3]	North[4]	East[5]	VehicleCount[6]	OpenParkingSpots (used only for onewaycarsharing)[7]	
7096	7096	4607906.111733564	5810726.852752984	-	-	1	
9765	9765	4605998.690935222	5827833.805626989	-	-	1	
1658	1658	4597030.522110345	5817094.383687805	-	-	1	
5991	5991	4598822.777376849	5816826.120634697	-	-	1	
8620	8620	4589413.795001383	5819012.36602755	-	-	1	
6664	6664	4603397.212920478	5813625.56275442	-	-	1	
1927	1927	4588494.278192251	5826222.505533517	-	-	1	
7946	7946	4596041.825511689	5825157.205100093	-	-	1	
8973	8973	4606902.194020094	5812703.196315771	-	-	1	
7574	7574	4597480.248338931	5824800.081992897	-	-	1	
1000	1000	4576893.964166104	5822451.556837059	-	-	1	
11189	11189	4586553.157814364	5810146.443168087	-	-	1	
11106	11106	4577354.076337875	5821288.238831304	-	-	1	
4631	4631	4590662.360666179	5816042.028233101	-	-	1	
8606	8606	4607076.800779242	5826873.057109301	-	-	1	
5168	5168	4600495.051821538	5815937.71735948	-	-	1	
6829	6829	4594531.225047773	5823537.173004344	-	-	1	
5598	5598	4607034.575030582	5827251.532879816	-	-	1	
712	712	4591133.48195115	5831029.8522065375	-	-	1	
1820	1820	4584835.278131544	5825273.751145087	-	-	1	
304	304	4594899.303022208	5823342.771027129	-	-	1	
2357	2357	4588900.951263878	5816786.346342007	-	-	1	
3736	3736	4542565.011628652	5811903.946686264	-	-	1	
7070	7070	4583684.726182625	5825188.07511222	-	-	1	
6141	6141	4594750.474278212	5824423.666692303	-	-	1	
7751	7751	4599782.481471381	5824128.417727452	-	-	1	
969	969	4586046.608033706	5816004.898120274	-	-	1	
12122	12122	4608349.765108681	5824955.630450713	-	-	1	
6185	6185	4602410.506700777	5819356.1476591965	-	-	1	
9945	9945	4598524.560188246	5810464.513622112	-	-	1	
1448	1448	4593848.73721523	5827034.098520821	-	-	1	
7382	7382	4587435.880189608	5823840.840262955	-	-	1	
11562	11562	4597216.907085885	5820641.474342288	-	-	1	
11833	11833	4599663.088676978	5812104.448806812	-	-	1	
10286	10286	4576751.016136956	5822339.412407035	-	-	1	
11258	11258	4589830.01128823	5818253.33684586	-	-	1	
599	599	4588652.797223931	5831688.081082124	-	-	1	
2871	2871	4588573.240036736	5820967.101630522	-	-	1	
5373	5373	4601593.570913865	5815792.550779945	-	-	1	
5776	5776	4599348.222073764	5816597.42838092	-	-	1	
1720	1720	4579755.075804384	5828112.784076107	-	-	1	
1200	1200	4600368.554423444	5819024.65554376	-	-	1	
2606	2606	4599518.859923898	5814199.566018958	-	-	1	
2327	2327	4598802.612974849	5821436.312701887	-	-	1	
9841	9841	4604787.132786033	5810799.064074714	-	-	1	
9133	9133	4582408.600861781	5823915.481187428	-	-	1	
732	732	4611212.787486805	5814291.529229975	-	-	1	
4584	4584	4658558.983306972	5735545.854826035	-	-	1	
10948	10948	4606656.409045648	5818002.78622665	-	-	1	
